[Header]
Data File Name	D:\2019 KYB\Youngnam CHJ\Data-041.qgd
Output Date	9/6/2019
Output Time	10:54:20 AM

[File Information]
Type	Data File
Generated	4/12/2019 12:27:12 PM
Generated by	Admin
Modified	9/6/2019 10:13:48 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Analyzed	4/12/2019 12:29:18 PM
Type	Unknown
Level	4
Sample Name	STD_5ug scan
Sample ID	
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	15
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	D:\2019 KYB\Youngnam CHJ\Data-041.qgd
Method File	D:\2019 KYB\Youngnam CHJ\OA_SCAN nontarget.qgm
Batch File	
Report Format File	REPORT.qgr
Tuning File	C:\GCMSsolution\System\Tune1\20190330.qgt

[File Description]


[MC Peak Table]
# of Peaks	815
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index
200	20.022	20.020	20.043	TIC	115284	89768	1.28	0.01	 V 		
201	20.066	20.043	20.110	TIC	345792	111359	3.11	0.02	 V 		
202	20.167	20.110	20.223	TIC	1002968	287337	3.49	0.07	 V 		
203	20.233	20.223	20.260	TIC	118324	55932	2.12	0.01	 V 		
204	20.289	20.260	20.293	TIC	112970	65064	1.74	0.01	 V 		
205	20.299	20.293	20.330	TIC	138042	72422	1.91	0.01	 V 		
206	20.380	20.330	20.437	TIC	1241156	399145	3.11	0.09	 V 		
207	20.493	20.437	20.517	TIC	1367450	477393	2.86	0.10	 V 		
208	20.554	20.517	20.587	TIC	2796648	1050615	2.66	0.20	 V 		
209	20.615	20.587	20.687	TIC	1470684	531272	2.77	0.10	 V 		
210	20.723	20.687	20.730	TIC	174318	80873	2.16	0.01	 V 		
211	20.749	20.730	20.763	TIC	155129	82405	1.88	0.01	 V 		
212	20.823	20.763	20.843	TIC	581904	178999	3.25	0.04	 V 		
213	20.863	20.843	20.943	TIC	767175	191164	4.01	0.05	 V 		
214	20.983	20.943	21.030	TIC	550878	144384	3.82	0.04	 V 		
215	21.059	21.030	21.063	TIC	163745	99633	1.64	0.01	 V 		
216	21.070	21.063	21.107	TIC	206268	98234	2.10	0.01	 V 		
217	21.177	21.107	21.247	TIC	8039476	3008562	2.67	0.56	 V 		
218	21.298	21.247	21.357	TIC	514574	108783	4.73	0.04	 V 		
219	21.392	21.357	21.440	TIC	323124	81459	3.97	0.02	 V 		
220	21.442	21.440	21.467	TIC	76242	54050	1.41	0.01	 V 		
221	21.590	21.467	21.653	TIC	43464171	11194794	3.88	3.05	 V 		
222	21.716	21.653	21.787	TIC	12670678	4942034	2.56	0.89	 V 		
